FIPS Code,State,Area name,low1970,high1970,low1980,high1980,low1990,high1990,low2000,high2000,low2015,high2015
1000,AL,Alabama,58.7,7.8,43.5,12.2,33.1,15.7,24.7,19.0,13.8,25.5
1001,AL,Autauga County,54.8,6.4,40.6,12.1,30.0,14.5,21.3,18.0,11.5,26.6
1003,AL,Baldwin County,59.4,6.5,39.7,12.1,26.8,16.8,18.0,23.1,9.2,31.9
1005,AL,Barbour County,68.8,7.3,55.1,9.2,44.4,11.8,35.3,10.9,26.8,11.6
1007,AL,Bibb County,73.1,4.2,59.5,4.9,48.2,4.7,36.8,7.1,20.9,10.4
1009,AL,Blount County,70.5,2.7,53.9,5.3,39.5,7.0,29.6,9.6,19.5,13.1
1011,AL,Bullock County,72.9,5.4,59.0,8.8,51.0,10.0,39.5,7.7,25.3,12.1
1013,AL,Butler County,70.5,4.6,55.0,8.2,47.2,8.0,32.2,10.4,15.0,16.1
1015,AL,Calhoun County,58.6,7.5,43.3,11.0,32.6,14.2,26.1,15.2,15.6,18.5
1017,AL,Chambers County,67.4,4.2,54.6,7.4,45.7,8.9,35.8,9.5,18.4,13.3
1019,AL,Cherokee County,69.8,3.8,56.8,6.3,46.5,6.7,36.5,9.7,18.4,12.8
1021,AL,Chilton County,73.2,3.0,54.0,6.5,43.4,7.5,33.8,9.9,18.2,12.7
1023,AL,Choctaw County,68.2,4.3,55.3,7.0,45.7,8.5,35.0,9.6,18.6,11.9
1025,AL,Clarke County,62.7,5.5,50.6,8.9,39.7,10.8,29.2,12.1,19.4,12.2
1027,AL,Clay County,66.8,4.3,53.4,5.9,46.2,7.3,34.0,7.8,23.3,10.6
1029,AL,Cleburne County,73.1,2.7,61.7,5.8,50.2,6.5,37.1,9.2,21.0,15.4
1031,AL,Coffee County,59.9,5.8,43.4,12.2,32.8,16.5,26.8,19.3,14.1,22.8
1033,AL,Colbert County,56.3,5.8,44.2,9.4,34.8,11.5,26.7,14.1,14.8,18.1
1035,AL,Conecuh County,71.2,4.1,57.5,6.2,47.3,6.4,32.3,9.2,15.7,12.8
1037,AL,Coosa County,69.8,3.4,56.9,3.6,46.1,6.3,34.3,8.0,20.0,12.8
1039,AL,Covington County,68.3,4.7,55.7,7.1,42.7,9.1,31.6,12.2,16.6,15.3
1041,AL,Crenshaw County,73.9,3.9,62.4,6.8,48.7,8.4,39.9,11.2,20.8,17.4
1043,AL,Cullman County,69.7,3.9,53.4,7.3,41.2,7.8,29.6,11.9,18.4,13.9
1045,AL,Dale County,44.6,9.0,35.1,11.6,25.8,13.5,22.2,14.0,13.9,18.1
1047,AL,Dallas County,58.6,8.8,46.5,11.3,40.4,12.2,29.7,13.9,18.2,14.7
1049,AL,DeKalb County,72.5,3.7,57.3,5.7,47.0,7.1,36.2,8.3,25.2,13.0
1051,AL,Elmore County,62.0,5.4,42.3,10.3,33.5,12.8,22.4,16.6,13.4,25.1
1053,AL,Escambia County,65.4,4.8,49.2,7.2,40.1,7.6,31.5,10.6,18.9,12.5
1055,AL,Etowah County,59.2,5.2,45.1,8.9,35.9,10.2,25.9,13.4,15.4,17.8
1057,AL,Fayette County,69.8,3.8,56.4,7.3,43.4,8.5,33.9,9.2,17.4,12.4
1059,AL,Franklin County,67.4,3.4,54.9,6.0,44.9,6.9,37.9,9.7,22.8,14.0
1061,AL,Geneva County,68.1,4.5,54.0,5.9,44.6,6.8,34.4,8.7,19.7,12.5
1063,AL,Greene County,73.2,6.5,60.1,9.6,46.2,10.4,35.2,10.5,20.8,10.1
1065,AL,Hale County,74.2,5.0,61.8,6.7,45.6,8.9,34.8,8.1,16.0,14.2
1067,AL,Henry County,70.2,4.8,56.0,8.6,41.5,8.2,33.3,14.1,20.6,17.1
1069,AL,Houston County,57.3,7.0,41.7,12.7,31.7,15.0,23.5,18.4,14.0,21.7
