id,lat,lng
6037,34.3207,-118.2248
17031,41.8401,-87.8168
48201,29.8577,-95.3936
4013,33.3490,-112.4915
6073,33.0341,-116.7353
6059,33.7030,-117.7611
12086,25.6150,-80.5623
48113,32.7666,-96.7779
36047,40.6395,-73.9385
6065,33.7437,-115.9938
36081,40.7023,-73.8203
53033,47.4902,-121.8052
32003,36.2152,-115.0135
6071,34.8414,-116.1784
48439,32.7716,-97.2912
48029,29.4489,-98.5200
6085,37.2318,-121.6951
12011,26.1523,-80.4871
26163,42.2819,-83.2821
6001,37.6469,-121.8889
36061,40.7781,-73.9675
25017,42.4856,-71.3918
42101,40.0077,-75.1339
6067,38.4493,-121.3443
36103,40.8686,-72.8448
12099,26.6476,-80.4655
36005,40.8500,-73.8660
12057,27.9291,-82.3092
36059,40.7328,-73.5864
12095,28.5144,-81.3235
39049,39.9695,-83.0093
26125,42.6604,-83.3858
39035,41.4245,-81.6586
27053,45.0046,-93.4769
48453,30.3347,-97.7820
42003,40.4688,-79.9812
51059,38.8368,-77.2770
6013,37.9191,-121.9278
49035,40.6673,-111.9236
37119,35.2467,-80.8328
37183,35.7903,-78.6503
24031,39.1363,-77.2042
13121,33.7903,-84.4670
4019,32.0974,-111.7899
29189,38.6405,-90.4433
15003,21.5008,-158.1053
6019,36.7582,-119.6493
48085,33.1879,-96.5724
36119,41.1623,-73.7561
12103,27.9196,-82.7256
18097,39.7817,-86.1385
55079,43.0072,-87.9668
9001,41.2708,-73.3894
47157,35.1840,-89.8955
12031,30.3316,-81.6708
34003,40.9596,-74.0742
17043,41.8520,-88.0856
36029,42.7640,-78.7323
13135,33.9617,-84.0236
24033,38.8295,-76.8473
9003,41.8064,-72.7329
6029,35.3429,-118.7299
53053,47.0241,-122.1046
6075,37.7562,-122.4430
26099,42.6955,-82.9323
9009,41.4105,-72.9321
48215,26.3969,-98.1812
6111,34.4565,-119.0836
48141,31.7686,-106.2348
48121,33.2052,-97.1170
24005,39.4627,-76.6393
34023,40.4391,-74.4117
25027,42.3514,-71.9077
42091,40.2108,-75.3673
39061,39.1955,-84.5428
41051,45.5468,-122.4147
53061,48.0475,-121.6975
25025,42.3336,-71.0709
34013,40.7872,-74.2470
40109,35.5515,-97.4072
25009,42.6731,-70.9520
6081,37.4229,-122.3290
21111,38.1872,-85.6591
48157,29.5275,-95.7709
13067,33.9415,-84.5767
13089,33.7715,-84.2264
36055,43.1464,-77.6961
6077,37.9348,-121.2714
12071,26.5778,-81.8337
8031,39.7621,-104.8759
17097,42.3233,-88.0037
25021,42.1607,-71.2111
8041,38.8321,-104.5255
29095,39.0085,-94.3461
11001,38.9047,-77.0163
17197,41.4450,-87.9786
47037,36.1695,-86.7848
12105,27.9489,-81.6976
35001,35.0513,-106.6701
34017,40.7351,-74.0777
1073,33.5543,-86.8964
26081,43.0322,-85.5493
40143,36.1211,-95.9415
8005,39.6498,-104.3392
44007,41.8721,-71.5800
42017,40.3370,-75.1069
34025,40.2603,-74.2213
24510,39.3051,-76.6144
49049,40.1199,-111.6703
34029,39.8855,-74.2813
20091,38.8838,-94.8223
41067,45.5601,-123.0984
12009,28.2937,-80.7323
8059,39.5864,-105.2505
48339,30.3002,-95.5030
24003,39.0065,-76.6051
42045,39.9167,-75.3991
25005,41.7972,-71.1144
31055,41.2953,-96.1543
10003,39.5768,-75.6527
34039,40.6600,-74.3085
48491,30.6480,-97.6008
27123,45.0171,-93.0996
6099,37.5591,-120.9977
39153,41.1260,-81.5322
42071,40.0424,-76.2477
12127,29.0584,-81.1819
55025,43.0673,-89.4181
39113,39.7546,-84.2906
17089,41.9388,-88.4286
37081,36.0795,-79.7889
12101,28.3091,-82.3932
42029,39.9731,-75.7484
25023,41.9512,-70.8114
20173,37.6848,-97.4610
45045,34.8944,-82.3707
34007,39.8035,-74.9597
53063,47.6207,-117.4040
8001,39.8736,-104.3378
34031,41.0344,-74.3008
6097,38.5283,-122.8874
34027,40.8620,-74.5445
18089,41.4171,-87.3822
19153,41.6855,-93.5735
36085,40.5808,-74.1524
53011,45.7793,-122.4825
25013,42.1351,-72.6316
36067,43.0058,-76.1946
6107,36.2201,-118.8005
51153,38.7030,-77.4809
12117,28.7170,-81.2363
47093,35.9932,-83.9371
32031,40.6657,-119.6643
16001,43.4511,-116.2412
51810,36.7335,-76.0435
34005,39.8777,-74.6681
42133,39.9200,-76.7265
6083,34.6729,-120.0165
22033,30.5383,-91.0956
